date,time,taxi_count,queue_length,day_type
2023-12-16,05%3A05%3A00,32,192.19933752772192,weekend
2023-12-16,05%3A06%3A00,28,128.47744381317526,weekend
2023-12-16,05%3A07%3A00,19,88.74067888197904,weekend
2023-12-16,05%3A08%3A00,35,205.11231397416745,weekend
2023-12-16,05%3A09%3A00,34,131.55960919388534,weekend
2023-12-16,05%3A10%3A00,28,113.23913474200329,weekend
2023-12-16,05%3A11%3A00,30,127.0267493531593,weekend
2023-12-16,05%3A12%3A00,26,84.79934956950119,weekend
2023-12-16,05%3A13%3A00,31,156.57653721961887,weekend
2023-12-16,05%3A14%3A00,26,79.35885526639821,weekend
2023-12-16,05%3A15%3A00,16,82.30835395666304,weekend
2023-12-16,05%3A16%3A00,28,111.6879063248332,weekend
2023-12-16,05%3A17%3A00,23,111.96633368651067,weekend
2023-12-16,05%3A18%3A00,20,89.62809656252406,weekend
2023-12-16,05%3A19%3A00,29,83.04528860138161,weekend
2023-12-16,05%3A20%3A00,29,95.1969928948983,weekend
2023-12-16,05%3A21%3A00,28,120.06785683597545,weekend
2023-12-16,05%3A22%3A00,29,127.20973450383346,weekend
2023-12-16,05%3A23%3A00,26,85.09749056752628,weekend
2023-12-16,05%3A24%3A00,27,0,weekend
2023-12-16,05%3A25%3A00,27,107.15314602848527,weekend
2023-12-16,05%3A26%3A00,25,99.81905788230938,weekend
2023-12-16,05%3A27%3A00,28,106.36427754196629,weekend
2023-12-16,05%3A28%3A00,24,91.77846243490369,weekend
2023-12-16,05%3A29%3A00,25,83.09457596696885,weekend
2023-12-16,05%3A30%3A00,30,127.21413629138131,weekend
2023-12-16,05%3A31%3A00,25,152.17677236549787,weekend
2023-12-16,05%3A32%3A00,12,66.58652676048635,weekend
2023-12-16,05%3A33%3A00,28,146.12697602363585,weekend
2023-12-16,05%3A34%3A00,18,62.78023120846515,weekend
2023-12-16,05%3A35%3A00,30,132.54075531902873,weekend
2023-12-16,05%3A36%3A00,27,133.61113900842264,weekend
2023-12-16,05%3A37%3A00,31,146.12697602363585,weekend
2023-12-16,05%3A38%3A00,35,142.4591017818835,weekend
2023-12-16,05%3A39%3A00,28,85.67887317916743,weekend
2023-12-16,05%3A40%3A00,32,144.93418859765256,weekend
2023-12-16,05%3A41%3A00,25,115.08488102227882,weekend
2023-12-16,05%3A42%3A00,28,131.22125740161616,weekend
2023-12-16,05%3A43%3A00,29,146.67229384162835,weekend
2023-12-16,05%3A44%3A00,23,106.49811977886846,weekend
2023-12-16,05%3A45%3A00,25,103.0644252837712,weekend
2023-12-16,05%3A46%3A00,22,99.38394054289004,weekend
2023-12-16,05%3A47%3A00,18,64.3945739076014,weekend
2023-12-16,05%3A48%3A00,10,41.08995025655376,weekend
2023-12-16,05%3A49%3A00,24,97.10955094865244,weekend
2023-12-16,05%3A50%3A00,20,90.15052212408321,weekend
2023-12-16,05%3A51%3A00,19,84.88297939639385,weekend
2023-12-16,05%3A52%3A00,14,53.94636269264477,weekend
2023-12-16,05%3A53%3A00,24,0,weekend
2023-12-16,05%3A54%3A00,14,37.09280377191075,weekend
2023-12-16,05%3A55%3A00,0,[],weekend
2023-12-16,05%3A56%3A00,0,[],weekend
2023-12-16,05%3A57%3A00,12,75.82066228753112,weekend
2023-12-16,05%3A58%3A00,12,43.46725312533295,weekend
2023-12-16,06%3A00%3A00,0,[],weekend
2023-12-16,06%3A01%3A00,0,[],weekend
2023-12-16,06%3A02%3A00,0,[],weekend
2023-12-16,06%3A03%3A00,7,33.594550829270986,weekend
2023-12-16,06%3A04%3A00,7,33.594550829270986,weekend
2023-12-16,06%3A05%3A00,12,53.23338960534341,weekend
2023-12-16,06%3A06%3A00,19,78.03605994405227,weekend
